DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE
3/31/23,10:17:43,TRD,1656570243,tAndroid BOT +2 SPY 100 (Weeklys) 3 APR 23 404 CALL @3.31,-0.01,-1.30,-662.00,"112,010.71"
3/31/23,10:19:28,TRD,1656572084,tAndroid SOLD -2 SPY 100 (Weeklys) 3 APR 23 408 CALL @1.06,-0.02,-1.30,212.00,"112,221.39"
3/31/23,10:20:36,TRD,1656574214,tAndroid SOLD -2 SPY 100 (Weeklys) 3 APR 23 404 PUT @.88,-0.02,-1.30,176.00,"112,396.07"
4/1/23,00:00:00,BAL,,Cash balance at the start of business day 01.04 CST,,,,"112,396.07"
4/2/23,00:00:00,BAL,,Cash balance at the start of business day 02.04 CST,,,,"112,396.07"
4/3/23,00:00:00,BAL,,Cash balance at the start of business day 03.04 CST,,,,"112,396.07"
4/3/23,10:08:07,TRD,1657302472,tAndroid SOLD -2 CALENDAR SPY 100 4 APR 23/3 APR 23 408 CALL @.77,-0.03,-2.60,154.00,"112,547.44"
4/3/23,10:10:29,TRD,1657304307,tAndroid SOLD -2 DIAGONAL SPY 100 4 APR 23/3 APR 23 406/404 PUT @.65,-0.03,-2.60,130.00,"112,674.81"
4/4/23,00:00:00,BAL,,Cash balance at the start of business day 04.04 CST,,,,"112,674.81"
4/4/23,10:38:24,TRD,1658008281,tAndroid SOLD -2 CALENDAR SPY 100 (Weeklys) 5 APR 23/4 APR 23 406 PUT @.44,-0.03,-2.60,88.00,"112,760.18"
4/4/23,10:38:38,TRD,1658008300,tAndroid SOLD -2 DIAGONAL SPY 100 (Weeklys) 5 APR 23/4 APR 23 410/408 CALL @-.26,-0.03,-2.60,-52.00,"112,705.55"
4/5/23,00:00:00,BAL,,Cash balance at the start of business day 05.04 CST,,,,"112,705.55"
4/5/23,10:25:39,TRD,1658650231,tAndroid SOLD -2 DIAGONAL SPY 100 (Weeklys) 6 APR 23/5 APR 23 408/410 CALL @.96,-0.03,-2.60,192.00,"112,894.92"
4/5/23,10:26:19,TRD,1658650216,tAndroid SOLD -2 CALENDAR SPY 100 (Weeklys) 6 APR 23/5 APR 23 406 PUT @.71,-0.03,-2.60,142.00,"113,034.29"
4/6/23,00:00:00,BAL,,Cash balance at the start of business day 06.04 CST,,,,"113,034.29"
4/6/23,12:29:01,TRD,1659436098,tAndroid SOLD -2 DIAGONAL SPY 100 (Weeklys) 10 APR 23/6 APR 23 410/408 CALL @.45,-0.03,-2.60,90.00,"113,121.66"
4/6/23,12:29:38,TRD,1659438329,tAndroid SOLD -2 DIAGONAL SPY 100 (Weeklys) 10 APR 23/6 APR 23 408/406 PUT @1.70,-0.03,-2.60,340.00,"113,459.03"
4/7/23,00:00:00,BAL,,Cash balance at the start of business day 07.04 CST,,,,"113,459.03"
4/8/23,00:00:00,BAL,,Cash balance at the start of business day 08.04 CST,,,,"113,459.03"
4/9/23,00:00:00,BAL,,Cash balance at the start of business day 09.04 CST,,,,"113,459.03"
4/10/23,00:00:00,BAL,,Cash balance at the start of business day 10.04 CST,,,,"113,459.03"
4/10/23,10:02:34,TRD,1659971373,tAndroid SOLD -2 DIAGONAL SPY 100 11 APR 23/10 APR 23 406/408 PUT @-.31,-0.03,-2.60,-62.00,"113,394.40"
4/10/23,10:03:11,TRD,1659973704,tAndroid SOLD -2 DIAGONAL SPY 100 11 APR 23/10 APR 23 408/410 CALL @1.07,-0.03,-2.60,214.00,"113,605.77"
4/11/23,00:00:00,BAL,,Cash balance at the start of business day 11.04 CST,,,,"113,605.77"
4/11/23,13:40:48,TRD,1660820189,tAndroid SOLD -2 DIAGONAL SPY 100 (Weeklys) 12 APR 23/11 APR 23 408/406 PUT @.71,-0.03,-2.60,142.00,"113,745.14"
4/11/23,13:43:56,TRD,1660822960,tAndroid SOLD -2 DIAGONAL SPY 100 (Weeklys) 12 APR 23/11 APR 23 412/408 CALL @-1.65,-0.03,-2.60,-330.00,"113,412.51"
4/12/23,00:00:00,BAL,,Cash balance at the start of business day 12.04 CST,,,,"113,412.51"
4/12/23,09:26:38,TRD,1661193803,tAndroid SOLD -2 CALENDAR SPY 100 13 APR 23/12 APR 23 412 CALL @.69,-0.03,-2.60,138.00,"113,547.88"
4/12/23,09:43:54,TRD,1661228775,tAndroid SOLD -2 CALENDAR SPY 100 13 APR 23/12 APR 23 408 PUT @.53,-0.03,-2.60,106.00,"113,651.25"
4/13/23,00:00:00,BAL,,Cash balance at the start of business day 13.04 CST,,,,"113,651.25"
4/13/23,09:04:35,TRD,1661803261,tAndroid SOLD -2 CALENDAR SPY 100 (Weeklys) 14 APR 23/13 APR 23 408 PUT @.68,-0.03,-2.60,136.00,"113,784.62"
4/13/23,09:05:42,TRD,1661803278,tAndroid SOLD -2 CALENDAR SPY 100 (Weeklys) 14 APR 23/13 APR 23 412 CALL @.50,-0.03,-2.60,100.00,"113,881.99"
4/14/23,00:00:00,BAL,,Cash balance at the start of business day 14.04 CST,,,,"113,881.99"
4/14/23,09:17:59,TRD,1662490082,tAndroid SOLD -2 DIAGONAL SPY 100 (Weeklys) 17 APR 23/14 APR 23 414/412 CALL @-.46,-0.03,-2.60,-92.00,"113,787.36"
4/14/23,09:19:20,TRD,1662492517,tAndroid SOLD -2 DIAGONAL SPY 100 (Weeklys) 17 APR 23/14 APR 23 410/408 PUT @.66,-0.03,-2.60,132.00,"113,916.73"
4/15/23,00:00:00,BAL,,Cash balance at the start of business day 15.04 CST,,,,"113,916.73"
4/16/23,00:00:00,BAL,,Cash balance at the start of business day 16.04 CST,,,,"113,916.73"
4/17/23,00:00:00,BAL,,Cash balance at the start of business day 17.04 CST,,,,"113,916.73"
4/17/23,11:36:36,TRD,1663390362,tAndroid SOLD -2 CALENDAR SPY 100 18 APR 23/17 APR 23 410 PUT @.51,-0.03,-2.60,102.00,"114,016.10"
4/17/23,11:37:05,TRD,1663390372,tAndroid SOLD -2 DIAGONAL SPY 100 18 APR 23/17 APR 23 412/414 CALL @1.12,-0.03,-2.60,224.00,"114,237.47"
4/18/23,00:00:00,BAL,,Cash balance at the start of business day 18.04 CST,,,,"114,237.47"
4/18/23,10:10:06,TRD,1663944726,tAndroid SOLD -2 DIAGONAL SPY 100 (Weeklys) 19 APR 23/18 APR 23 414/412 CALL @-.49,-0.03,-2.60,-98.00,"114,136.84"
4/18/23,10:10:24,TRD,1663944745,tAndroid SOLD -2 DIAGONAL SPY 100 (Weeklys) 19 APR 23/18 APR 23 412/410 PUT @.85,-0.03,-2.60,170.00,"114,304.21"
4/19/23,00:00:00,BAL,,Cash balance at the start of business day 19.04 CST,,,,"114,304.21"
4/19/23,10:20:56,TRD,1664571944,tAndroid SOLD -2 CALENDAR SPY 100 20 APR 23/19 APR 23 412 PUT @.50,-0.03,-2.60,100.00,"114,401.58"
4/19/23,10:21:24,TRD,1664571957,tAndroid SOLD -2 CALENDAR SPY 100 20 APR 23/19 APR 23 414 CALL @.71,-0.03,-2.60,142.00,"114,540.95"
4/20/23,00:00:00,BAL,,Cash balance at the start of business day 20.04 CST,,,,"114,540.95"
4/20/23,09:26:36,TRD,1665093331,tAndroid SOLD -2 DIAGONAL SPY 100 21 APR 23/20 APR 23 410/412 PUT @.09,-0.03,-2.60,18.00,"114,556.32"
4/20/23,09:26:37,TRD,1665093342,tAndroid SOLD -2 DIAGONAL SPY 100 21 APR 23/20 APR 23 412/414 CALL @1.59,-0.03,-2.60,318.00,"114,871.69"
4/21/23,00:00:00,BAL,,Cash balance at the start of business day 21.04 CST,,,,"114,871.69"
4/21/23,09:05:16,TRD,1665715707,tAndroid SOLD -2 CALENDAR SPY 100 (Weeklys) 24 APR 23/21 APR 23 410 PUT @.77,-0.03,-2.60,154.00,"115,023.06"
4/21/23,09:05:20,TRD,1665714272,tAndroid SOLD -2 CALENDAR SPY 100 (Weeklys) 24 APR 23/21 APR 23 412 CALL @.73,-0.03,-2.60,146.00,"115,166.43"
4/22/23,00:00:00,BAL,,Cash balance at the start of business day 22.04 CST,,,,"115,166.43"
4/23/23,00:00:00,BAL,,Cash balance at the start of business day 23.04 CST,,,,"115,166.43"
4/24/23,00:00:00,BAL,,Cash balance at the start of business day 24.04 CST,,,,"115,166.43"
